"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"1",2017-11-20,52876,1.5,6.5,0.8,6.1,2.267,0,0,0,0,0
"2",2017-06-16,71206,13.5,22.7,1.9,5.2,5.017,0,0,0,0,0
"3",2017-05-09,65926,0.9,10.2,0.2,6.3,2.283,0,0,0,0,0
"4",2017-10-26,60411,11.1,14.8,0.1,6.8,0.1,0,0,0,0,0
"5",2017-09-27,73461,12.8,19.1,0,7.5,0.5,0,0,0,0,0
"6",2017-07-06,97012,12.8,25.4,0.4,4.9,8.167,0,0,0,0,0
"7",2017-11-03,55253,5.1,12.4,0,5.1,2.417,0,0,0,0,0
"8",2017-03-26,46818,1.5,14.1,0,2.7,10.8,0,0,0,1,0
"9",2017-10-04,66252,10.3,14,2.4,7.6,0.033,0,0,0,0,0
"10",2017-11-26,23383,1,5,0.6,5.6,0.983,0,0,0,1,0
"11",2017-09-20,79527,7.3,17.1,0.1,5,4.867,0,0,0,0,0
"12",2017-11-25,17630,2.3,6,15.4,7.5,0,0,0,1,0,0
"13",2017-03-20,42684,9.7,13.6,0.4,7.8,0.1,0,0,0,0,0
"14",2017-08-01,69511,18.8,30.2,1.6,5.5,7.533,0,0,0,0,0
"15",2017-02-06,33200,-2.8,0.3,0,8,0,0,0,0,0,0
"16",2017-04-15,20480,5.3,11.1,2.5,6.7,0.6,0,0,1,0,0
"17",2017-08-05,46996,16.2,23.4,0,4.6,5.45,0,0,1,0,0
"18",2017-06-14,102561,11.5,22.9,0,2.8,14.267,0,0,0,0,0
"19",2017-10-17,92289,11.7,23,0,1.2,8.517,0,0,0,0,0
"20",2017-03-30,59826,9.9,17.9,0,6.3,2.6,0,0,0,0,0
"21",2017-10-16,86273,11.3,23.1,0,0.3,8.983,0,0,0,0,0
"22",2017-12-06,53701,6.9,7.9,0,8,0,0,0,0,0,0
"23",2017-11-22,54408,5.5,10.6,0.2,5.7,0,0,0,0,0,0
"24",2017-12-22,32261,4.6,7.1,0,7.3,0.183,0,0,0,0,0
"25",2017-02-11,17102,-3.6,-1.1,0,7.7,0,0,0,1,0,0
"26",2017-04-21,56980,4.7,14.9,0.9,7.4,0.3,0,0,0,0,0
"27",2017-01-20,27888,-1.3,1.9,0,8,0,0,0,0,0,0
"28",2017-02-13,34464,-7,2.6,0,0.5,8.2,0,0,0,0,0
"29",2017-03-11,33424,1.2,9.7,0,4.6,1.2,0,0,1,0,0
"30",2017-05-01,42124,4.4,16.6,0,5,4.483,0,0,0,1,0
"31",2017-02-09,31563,-5.3,-1.6,0,5.9,2.5,0,0,0,0,0
"32",2017-06-21,117773,12.6,25.4,0,4.5,14.467,0,0,0,0,0
"33",2017-01-25,32529,-0.1,1.3,0,8,0,0,0,0,0,0
"34",2017-09-05,99867,9.9,23.3,0,3.3,11.533,0,0,0,0,0
"35",2017-07-17,94887,14.4,23.1,0,4.3,10.367,0,0,0,0,0
"36",2017-02-08,31515,-4.8,-2.2,0,7.6,0,0,0,0,0,0
"37",2017-10-25,52823,12.2,18,0.6,6.8,0.7,0,0,0,0,0
"38",2017-10-07,25720,8.9,12.9,14.5,7.5,0.5,0,0,1,0,0
"39",2017-06-09,83887,14.4,29.1,0.6,5.8,11.983,0,0,0,0,0
"40",2017-01-14,14732,-1.8,2.4,0.4,6,1.1,0,0,1,0,0
"41",2017-05-10,64774,5.2,12.6,0,7.2,4.017,0,0,0,0,0
"42",2017-02-14,38558,-8.5,5.7,0,1.3,6.9,0,0,0,0,0
"43",2017-01-22,17628,-3.1,4.5,0,3.5,5.4,0,0,0,1,0
"44",2017-07-25,37047,14.7,17.8,9.7,7.8,0,0,0,0,0,0
"45",2017-08-18,64158,16.9,26.5,16.4,6.8,3.617,0,0,0,0,0
"46",2017-07-12,62850,13,22.1,7.4,6.5,2.9,0,0,0,0,0
"47",2017-04-14,29296,4.5,14,0,5.7,3.9,0,0,0,1,0
"48",2017-09-12,84111,10.5,19.1,0.7,3.7,4.167,0,0,0,0,0
"49",2017-11-15,58839,6.3,9.2,0.5,8,0,0,0,0,0,0
"50",2017-04-13,48599,6.3,13.1,0,6,5.3,0,0,0,0,0
"51",2017-01-13,18731,-0.5,3.1,4.7,7.4,0,0,0,0,0,0
"52",2017-10-23,55842,7.6,11.8,0.2,6.4,0,0,0,0,0,0
"53",2017-12-15,37539,0.6,3,1.1,7,0,0,0,0,0,0
"54",2017-06-25,41013,15.6,23.5,3.7,7,1.95,0,0,0,1,0
"55",2017-10-06,44853,9,13.7,5.4,5.2,0.4,0,0,0,0,0
"56",2017-04-20,62617,-3.1,9,0,4.8,7.1,0,0,0,0,0
"57",2017-03-25,43677,2.4,12.4,0,6,6.5,0,0,1,0,0
"58",2017-01-29,17515,-4.7,6.7,0,3.9,6.3,0,0,0,1,0
"59",2017-05-21,64851,10.6,22.1,0,1.9,12,0,0,0,1,0
"60",2017-09-09,34554,14.8,17.8,0.9,7.3,0.317,0,0,1,0,0
"61",2017-08-09,88961,19,27.3,3.9,5,11.317,0,0,0,0,0
"62",2017-04-18,46899,2.4,8.9,0.8,6.4,3.3,0,0,0,0,0
"63",2017-02-02,23883,-5.3,0.5,0,4.7,3.6,0,0,0,0,0
"64",2017-12-31,9864,6.2,12.3,1.4,6.2,0,0,0,0,1,0
"65",2017-05-29,97463,18.5,30.8,0.1,3.6,12.733,0,0,0,0,0
"66",2017-10-14,45848,11.9,18.8,0,5.7,0.55,0,0,1,0,0
"67",2017-04-12,36786,6.8,13.3,6.3,8,0,0,0,0,0,0
"68",2017-05-25,55877,9.7,19.4,0,4.8,8.35,0,0,0,1,0
"69",2017-04-28,69759,1.9,12.2,0.2,5,5.2,0,0,0,0,0
"70",2017-04-17,22418,2.5,9.8,0.5,5.4,4.7,0,0,0,1,0
"71",2017-03-05,28898,6.7,11.9,0,6.5,0.6,0,0,0,1,0
"72",2017-08-12,34303,13.5,19,1.7,7,1.05,0,0,1,0,0
"73",2017-11-12,27487,2,6.1,1,7,0.617,0,0,0,1,0
"74",2017-02-20,35178,5,10.1,3.4,7.8,0,0,0,0,0,0
"75",2017-11-01,42057,8,11.2,13.9,8,0,0,0,0,0,0
"76",2017-12-13,44286,-0.1,4.4,6.8,5.7,5.733,0,0,0,0,0
"77",2017-05-18,104773,14.6,28.3,0,3.1,14.417,0,0,0,0,0
"78",2017-12-29,23569,-1.4,4.8,0,4.5,2.167,0,0,0,0,0
"79",2017-10-09,66925,4.9,14.2,2,3.7,6.717,0,0,0,0,0
"80",2017-05-23,96510,10.3,26,4.6,5.3,10.9,0,0,0,0,0
"81",2017-10-12,66288,10.8,16.9,0.4,5.4,4.433,0,0,0,0,0
"82",2017-06-19,105359,15.3,31.4,0,1.4,15.217,0,0,0,0,0
"83",2017-02-17,32749,3.8,6.8,2.1,7.9,0,0,0,0,0,0
"84",2017-07-23,42144,17,24.7,8.1,6.8,4.133,0,0,0,1,0
"85",2017-01-24,31609,-1.5,0.1,0,8,0,0,0,0,0,0
"86",2017-06-30,35312,14.4,20.1,19.2,7.8,0,0,0,0,0,0
"87",2017-08-02,86379,19.4,27,0,6,6.317,0,0,0,0,0
"88",2017-08-13,50708,14.4,22.6,0,5.2,4.55,0,0,0,1,0
"89",2017-06-12,89863,16.2,23.4,0,6.2,6.8,0,0,0,0,0
"90",2017-02-12,13731,-4.9,-0.8,0,7.3,0,0,0,0,1,0
"91",2017-01-01,10059,0.4,3.6,0.7,7.1,0.6,0,0,0,1,0
"92",2017-11-04,40660,4.3,11.5,0,5.4,4.9,0,0,1,0,0
"93",2017-03-19,15077,0.9,10.1,10.8,5.9,0.1,0,0,0,1,0
"94",2017-04-26,71697,1.7,11.8,0,5.7,6.1,0,0,0,0,0
"95",2017-08-21,65720,13.2,19.6,0.5,6,2.45,0,0,0,0,0
"96",2017-03-02,34091,2.8,7.4,5,7.4,0,0,0,0,0,0
"97",2017-03-27,73976,2.7,18.5,0,0.7,11.7,0,0,0,0,0
"98",2017-11-06,64725,2.4,10.3,0,4,4.2,0,0,0,0,0
"99",2017-02-18,20546,3.4,5.1,0.2,8,0,0,0,1,0,0
"100",2017-08-30,98250,14.9,29.9,0,3.5,10.617,0,0,0,0,0
"101",2017-09-03,39026,9,19.6,0.9,4.2,4.683,0,0,0,1,0
"102",2017-09-04,90140,8.5,21.7,0,2.3,10.817,0,0,0,0,0
"103",2017-08-27,56996,15.7,23.2,0,4.7,8.05,0,0,0,1,0
"104",2017-08-07,82710,11.5,24.5,0,1.6,12.4,0,0,0,0,0
"105",2017-05-15,86464,11.2,21.3,0,5.1,9.75,0,0,0,0,0
"106",2017-12-10,15490,-1.6,1.5,4.9,7.1,2.35,0,0,0,1,0
"107",2017-12-05,48389,3.2,7.6,0.7,7.9,0,0,0,0,0,0
"108",2017-10-19,79129,7.5,14.1,0,4.4,1,0,0,0,0,0
"109",2017-02-22,30557,3.9,10.8,9.8,6.7,0,0,0,0,0,0
"110",2017-05-24,70688,10.8,16.3,0,6.1,0.85,0,0,0,0,0
"111",2017-07-30,57907,18.2,32.6,0,4.1,12.633,0,0,0,1,0
"112",2017-04-10,71746,6.7,21.2,0,3.2,8.7,0,0,0,0,0
"113",2017-11-21,53175,3.1,5.7,4.6,8,0,0,0,0,0,0
"114",2017-10-10,54066,9.6,13.9,0.2,7.7,0,0,0,0,0,0
"115",2017-03-06,46917,3,8.6,6.6,6.9,0,0,0,0,0,0
"116",2017-12-04,50308,1.4,5.2,3,5.4,1.467,0,0,0,0,0
"117",2017-10-20,68944,9.1,16.4,4.5,4.7,3.683,0,0,0,0,0
"118",2017-12-16,22108,2.1,3.1,2,7.5,0.383,0,0,1,0,0
"119",2017-05-04,41326,7.4,11.2,3.1,8,0,0,0,0,0,0
"120",2017-03-18,22212,2.9,11.7,4.1,5.6,2.5,0,0,1,0,0
"121",2017-08-06,53907,13.5,22.3,0,2.7,10.883,0,0,0,1,0
"122",2017-04-08,41889,7.9,15.2,0,7.2,2.2,0,0,1,0,0
"123",2017-07-13,88838,11.6,19.3,0,5.7,4.767,0,0,0,0,0
"124",2017-01-19,28372,-4.4,-1.3,0,7.2,0,0,0,0,0,0
"125",2017-01-17,27967,-5.8,1,0,2.4,7,0,0,0,0,0
"126",2017-06-11,69707,15,29.4,0.8,5.2,11,0,0,0,1,0
"127",2017-07-22,44318,17.1,27.4,19.7,5.5,6.2,0,0,1,0,0
"128",2017-01-31,17459,-0.4,0.1,0,8,0,0,0,0,0,0
"129",2017-12-23,16410,4.4,9.6,0,7.9,0,0,0,1,0,0
"130",2017-04-09,57029,8.4,19.2,0,3.2,9.3,0,0,0,1,0
