"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"1",2017-11-20,7104,"3.3","10.2","12.2","7.8",0,0,0,0,0,0
"2",2017-06-16,18926,"10.5","20.2","0.0","4.9",4.567,0,0,0,0,0
"3",2017-05-09,19983,"0.7","14.5","0.0","2.5",11.017,0,0,0,0,0
"4",2017-10-26,11725,"11.8","17.6","3.4","7.3",0.833,0,0,0,0,0
"5",2017-09-27,21416,"8.2","21.8","0.0","3.0",8.383,0,0,0,0,0
"6",2017-07-06,23541,"13.7","29.7","0.8","3.5",7.717,0,0,0,0,0
"7",2017-11-03,11041,"6.0","13.5","0.0","6.3",2.267,0,0,0,0,0
"8",2017-03-26,17340,"3.7","15.5","0.0","3.3",10.6,0,0,0,1,0
"9",2017-10-04,15347,"9.6","14.6","2.9","7.5",0.483,0,0,0,0,0
"10",2017-11-26,4363,"1.5","6.1","0.5","5.1",0.183,0,0,0,1,0
"11",2017-09-20,13855,"9.2","16.6","0.1","6.1",2.75,0,0,0,0,0
"12",2017-11-25,6561,"1.1","6.8","0.2","6.3",0.6,0,0,1,0,0
"13",2017-03-20,12034,"9.1","13.8","1.0","7.7",0,0,0,0,0,0
"14",2017-08-01,14392,"13.3","21.7","0.0","6.4",0.55,0,0,0,0,0
"15",2017-02-06,11966,"-0.5","8.5","0.0","5.3",1,0,0,0,0,0
"16",2017-04-15,5495,"2.9","12.4","0.6","6.3",1.3,0,0,1,0,0
"17",2017-08-05,7718,"13.1","20.4","15.8","6.4",1.367,0,0,1,0,0
"18",2017-06-14,28068,"9.2","26.1","0.0","1.3",14.683,0,0,0,0,0
"19",2017-10-17,18745,"10.4","18.6","0.0","4.1",0,0,0,0,0,0
"20",2017-03-30,21396,"10.8","22.1","0.0","5.1",7.9,0,0,0,0,0
"21",2017-10-16,21154,"14.8","24.1","0.0","1.8",8.3,0,0,0,0,0
"22",2017-12-06,11866,"5.8","8.5","0.0","7.9",0,0,0,0,0,0
"23",2017-11-22,15168,"9.4","13.7","0.0","4.6",4.133,0,0,0,0,0
"24",2017-12-22,7761,"8.3","9.5","3.0","7.9",0,0,0,0,0,0
"25",2017-02-11,3386,"-0.5","2.5","6.8","7.9",0,0,0,1,0,0
"26",2017-04-21,12137,"1.1","14.8","1.0","6.9",0.1,0,0,0,0,0
"27",2017-01-20,9632,"-8.2","3.2","0.0","2.3",5.9,0,0,0,0,0
"28",2017-02-13,12697,"-4.8","11.4","0.0","0.3",8.3,0,0,0,0,0
"29",2017-03-11,12731,"3.9","14.5","0.0","6.1",8.3,0,0,1,0,0
"30",2017-05-01,3160,"7.1","14.5","6.2","7.5",0,0,0,0,1,0
"31",2017-02-09,11461,"-2.8","3.8","0.0","7.0",2.5,0,0,0,0,0
"32",2017-06-21,26307,"15.9","30.3","0.0","5.5",14.383,0,0,0,0,0
"33",2017-01-25,9959,"-6.5","0.6","0.0","4.1",3.1,0,0,0,0,0
"34",2017-09-05,19022,"16.3","25.5","1.2","6.8",2.533,0,0,0,0,0
"35",2017-07-17,16823,"13.5","24.6","0.0","5.6",7.583,0,0,0,0,0
"36",2017-02-08,11053,"0.3","5.1","0.0","7.3",0,0,0,0,0,0
"37",2017-10-25,11999,"11.3","17.4","0.1","7.0",0.283,0,0,0,0,0
"38",2017-10-07,5914,"8.3","11.5","5.5","7.7",0,0,0,1,0,0
"39",2017-06-09,14861,"11.2","21.5","5.7","4.8",3.933,0,0,0,0,0
"40",2017-01-14,4628,"-0.1","4.1","1.7","5.3",2.4,0,0,1,0,0
"41",2017-05-10,23286,"-0.5","17.9","0.0","1.4",14.15,0,0,0,0,0
"42",2017-02-14,14419,"-4.6","11.5","0.0","0.0",9.1,0,0,0,0,0
"43",2017-01-22,5031,"-7.8","3.2","0.0","0.3",7.1,0,0,0,1,0
