"","date","Bike_total","min-temp","max-temp","niederschlag","bewoelkung","sonnenstunden","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"1",2017-11-20,9002,1.9,5.7,1.6,98,0,0,0,0,0,0
"2",2017-06-16,13589,16.2,25.8,0,73,7,0,0,0,0,0
"3",2017-05-09,10037,4.8,11.2,0.5,94,1,0,0,0,0,0
"4",2017-10-26,16248,10,19.8,0,96,8.6,0,0,0,0,0
"5",2017-09-27,15532,9.1,20.4,0,81,4.7,0,0,0,0,0
"6",2017-07-06,24227,17.4,32.1,0,14,12.4,0,0,0,0,0
"7",2017-11-03,9857,3.8,13.1,0,65,1.5,0,0,0,0,0
"8",2017-03-26,9245,3.9,12.7,0,10,9.7,0,0,0,1,0
"9",2017-10-04,14108,6.8,16,0,96,5.1,0,0,0,0,0
"10",2017-11-26,2954,0.5,3.5,1.5,94,0.8,0,0,0,1,0
"11",2017-09-20,10498,8.5,14.5,5.8,98,0.7,0,0,0,0,0
"12",2017-11-25,3426,3,10.6,6,100,0.3,0,0,1,0,0
"13",2017-03-20,10135,8,15.5,0.3,79,3.3,0,0,0,0,0
"14",2017-08-01,20486,17.7,35.8,16.7,25,12.4,0,0,0,0,0
"15",2017-02-06,6302,1.4,3.4,0,100,0,0,0,0,0,0
"16",2017-04-15,4179,7.3,15.1,1.3,95,0.7,0,0,1,0,0
"17",2017-08-05,15012,18.3,29.3,4.2,74,9.1,0,0,1,0,0
"18",2017-06-14,19159,13.3,25.4,0,24,13,0,0,0,0,0
"19",2017-10-17,18482,7.2,22.9,0,45,9.9,0,0,0,0,0
"20",2017-03-30,15962,7,20.4,0,8,10.8,0,0,0,0,0
"21",2017-10-16,17632,8.1,25.2,0,0,10.4,0,0,0,0,0
"22",2017-12-06,8439,-0.4,2.1,0,100,0,0,0,0,0,0
"23",2017-11-22,12693,4,16.5,0,61,8.4,0,0,0,0,0
"24",2017-12-22,4446,4,6,2.2,98,0,0,0,0,0,0
"25",2017-02-11,4358,-3.8,6.3,0,20,8.4,0,0,1,0,0
"26",2017-04-21,9235,-0.4,11.9,0,33,11.3,0,0,0,0,0
"27",2017-01-20,1786,-11,-2.4,0,1,7.5,0,0,0,0,0
"28",2017-02-13,6743,-1.6,3.4,0,60,2.1,0,0,0,0,0
"29",2017-03-11,6780,-1.4,11.3,0,64,4.9,0,0,1,0,0
"30",2017-05-01,5516,3.4,14.3,17.8,73,4.7,0,0,0,1,0
"31",2017-02-09,6686,-2.1,0.5,0,93,0.6,0,0,0,0,0
"32",2017-06-21,22826,19.9,32.3,0,31,11.2,0,0,0,0,0
"33",2017-01-25,2148,-9.6,-3.9,0,100,0,0,0,0,0,0
"34",2017-09-05,13002,13.6,22.3,0.6,98,2.3,0,0,0,0,0
"35",2017-07-17,21731,14.8,27.5,0,33,11.3,0,0,0,0,0
"36",2017-02-08,6945,-1.4,3.1,0,100,0,0,0,0,0,0
"37",2017-10-25,14995,9,19.2,0,99,6,0,0,0,0,0
"38",2017-10-07,6297,7.3,13.3,1.6,99,1,0,0,1,0,0
"39",2017-06-09,15581,10.2,26.6,3,50,8.6,0,0,0,0,0
"40",2017-01-14,1359,-2.3,2,1.5,90,0.5,0,0,1,0,0
"41",2017-05-10,17694,2.1,17.8,0,3,14.1,0,0,0,0,0
"42",2017-02-14,7621,-4.2,8.3,0,16,7.4,0,0,0,0,0
"43",2017-01-22,622,-13.1,-6.2,0,16,6.8,0,0,0,1,0
"44",2017-07-25,9907,11.9,17.5,25,95,1.3,0,0,0,0,0
"45",2017-08-18,14652,14,22,0,75,5,0,0,0,0,0
"46",2017-07-12,15601,15,26.7,3.8,91,2.6,0,0,0,0,0
"47",2017-04-14,5385,7.6,13.4,0,98,0.5,0,0,0,1,0
"48",2017-09-12,11550,9.9,14.4,5,96,1.6,0,0,0,0,0
"49",2017-11-15,10004,-0.8,2.7,0,95,2.2,0,0,0,0,0
"50",2017-04-13,9223,8.8,14.6,0,91,0.3,0,0,0,0,0
"51",2017-01-13,3686,-1.5,5.4,0.8,94,0,0,0,0,0,0
"52",2017-10-23,10374,6.7,9.9,0,100,0.1,0,0,0,0,0
"53",2017-12-15,7086,1.6,6.1,0.1,68,5.3,0,0,0,0,0
"54",2017-06-25,8626,15.8,23.3,12.8,75,1.5,0,0,0,1,0
"55",2017-10-06,9013,6.1,12.6,6.5,91,3.4,0,0,0,0,0
"56",2017-04-20,6981,-1.3,6.1,0,80,3.2,0,0,0,0,0
"57",2017-03-25,8686,5.4,13.8,0,48,7.6,0,0,1,0,0
"58",2017-01-29,1618,-8.2,8.7,0,0,8.6,0,0,0,1,0
"59",2017-05-21,13465,8.5,19.9,0,44,8.5,0,0,0,1,0
"60",2017-09-09,6484,10.4,19.2,6.4,99,1,0,0,1,0,0
"61",2017-08-09,13238,15.7,23.4,0,98,2.8,0,0,0,0,0
"62",2017-04-18,3590,0.1,5.3,8.3,88,2,0,0,0,0,0
"63",2017-02-02,6705,-0.9,9.2,0,88,2.2,0,0,0,0,0
"64",2017-12-31,2822,3.5,13.5,0.7,73,6.6,0,0,0,1,0
"65",2017-05-29,22303,13.5,31.2,0,28,14.5,0,0,0,0,0
"66",2017-10-14,12567,6.7,20.8,0,14,10.6,0,0,1,0,0
"67",2017-04-12,13978,3.4,18.8,0,65,8.9,0,0,0,0,0
"68",2017-05-25,13468,11.2,20.2,0,44,8.8,0,0,0,1,0
"69",2017-04-28,3793,0.3,3.6,13.5,95,0,0,0,0,0,0
"70",2017-04-17,1771,2.4,8.6,8.4,96,0.4,0,0,0,1,0
"71",2017-03-05,4962,4.5,11,1.1,74,3.3,0,0,0,1,0
"72",2017-08-12,5563,12.1,17.6,0.3,89,0.1,0,0,1,0,0
"73",2017-11-12,1501,2.5,10.3,16.2,95,0,0,0,0,1,0
"74",2017-02-20,7057,3.7,9.6,1.1,93,1.6,0,0,0,0,0
"75",2017-11-01,3746,4,10.2,0,88,0,0,0,0,1,0
"76",2017-12-13,8332,-0.8,5.2,1.8,49,6.7,0,0,0,0,0
"77",2017-05-18,20905,11.1,27.1,0,21,11.6,0,0,0,0,0
"78",2017-12-29,1591,-2,2.2,1.8,73,6.5,0,0,0,0,0
"79",2017-10-09,8378,9.2,12.8,4.2,99,0.1,0,0,0,0,0
"80",2017-05-23,19554,12.6,25.2,0,63,8.7,0,0,0,0,0
"81",2017-10-12,14715,9.8,19.3,0,71,4.9,0,0,0,0,0
"82",2017-06-19,22052,12.6,29.8,0,5,15.3,0,0,0,0,0
"83",2017-02-17,4110,2.3,7.2,10.8,96,0.3,0,0,0,0,0
"84",2017-07-23,10343,16.1,22.6,4.1,94,1,0,0,0,1,0
"85",2017-01-24,2151,-11.4,-7.2,0,96,0,0,0,0,0,0
"86",2017-06-30,17686,14.3,24.1,0,79,7.1,0,0,0,0,0
"87",2017-08-02,19677,18.3,30.7,0.1,75,9.4,0,0,0,0,0
"88",2017-08-13,12262,13.5,24.3,0,54,7.9,0,0,0,1,0
"89",2017-06-12,15383,17.7,27.6,4,80,4.9,0,0,0,0,0
"90",2017-02-12,2472,-2.1,0.2,0,99,0,0,0,0,1,0
"91",2017-01-01,1571,-6.1,2.6,0,36,5.9,0,0,0,1,0
"92",2017-11-04,7983,2,17.7,0,91,4.6,0,0,1,0,0
"93",2017-03-19,4114,8.7,14.4,0,98,0.2,0,0,0,1,0
"94",2017-04-26,5165,1.5,4.9,17.7,99,0,0,0,0,0,0
"95",2017-08-21,13547,10.9,20.5,0,71,6.2,0,0,0,0,0
"96",2017-03-02,6282,3.4,10.7,0.1,58,4.2,0,0,0,0,0
"97",2017-03-27,13176,1.1,17,0,1,12.2,0,0,0,0,0
"98",2017-11-06,7241,3.7,5.6,4.2,96,0,0,0,0,0,0
"99",2017-02-18,3610,-0.6,6.2,0,70,0.3,0,0,1,0,0
"100",2017-08-30,18178,14.3,32.1,0,45,10,0,0,0,0,0
"101",2017-09-03,8197,9.6,16.9,1.7,88,2.7,0,0,0,1,0
"102",2017-09-04,13497,6.9,20.4,0,25,11.8,0,0,0,0,0
"103",2017-08-27,9515,17.1,26.9,1.1,61,4.1,0,0,0,1,0
"104",2017-08-07,19513,11.9,24.2,0,24,12.4,0,0,0,0,0
"105",2017-05-15,13431,9.9,19.3,3.4,70,4.9,0,0,0,0,0
"106",2017-12-10,1548,-4.5,6.5,4.6,94,1.8,0,0,0,1,0
