"","date","Bike_total","min-temp","max-temp","niederschlag","LockDown1_Dummy","LockDown2_Dummy","Saturday_Dummy","Sunday_Holiday_Dummy","Pop_Up_Dummy"
"1",2017-11-20,17278,4.1,8,0,0,0,0,0,0
"2",2017-06-16,31609,15.6,28.7,5.1,0,0,0,0,0
"3",2017-05-09,16395,4.2,12.7,7.6,0,0,0,0,0
"4",2017-10-26,22047,9.9,18.8,0,0,0,0,1,0
"5",2017-09-27,34151,9.7,18.2,0,0,0,0,0,0
"6",2017-07-06,49348,17.9,31,0.3,0,0,0,0,0
"7",2017-11-03,23948,3,14.2,0,0,0,0,0,0
"8",2017-03-26,19287,4.4,12.1,0,0,0,0,1,0
"9",2017-10-04,33414,9.4,19.3,0,0,0,0,0,0
"10",2017-11-26,8043,2,7.7,0,0,0,0,1,0
"11",2017-09-20,10974,10.2,13.1,43.9,0,0,0,0,0
"12",2017-11-25,9131,4,8.6,0.3,0,0,1,0,0
"13",2017-03-20,26157,6.9,17.7,0,0,0,0,0,0
"14",2017-08-01,45969,21.8,36.1,0,0,0,0,0,0
"15",2017-02-06,4013,2.2,5.3,11.9,0,0,0,0,0
"16",2017-04-15,14086,6.3,17,0,0,0,1,0,0
"17",2017-08-05,29888,23.9,31.9,0,0,0,1,0,0
"18",2017-06-14,53070,15.7,26.8,0,0,0,0,0,0
"19",2017-10-17,36918,8.1,19.7,0,0,0,0,0,0
"20",2017-03-30,33781,11.3,20.6,0,0,0,0,0,0
"21",2017-10-16,35096,1.1,21.7,0,0,0,0,0,0
"22",2017-12-06,16549,2.9,6.5,0,0,0,0,0,0
"23",2017-11-22,24863,4.5,15.8,0,0,0,0,0,0
"24",2017-12-22,12051,3.8,8.1,0,0,0,0,0,0
"25",2017-02-11,4716,-0.4,3.2,0,0,0,1,0,0
"26",2017-04-21,19173,1.9,13,0,0,0,0,0,0
"27",2017-01-20,8338,-10.4,-3.3,0,0,0,0,0,0
"28",2017-02-13,11963,-2.4,4.5,0,0,0,0,0,0
"29",2017-03-11,13143,4.7,11,0,0,0,1,0,0
"30",2017-05-01,26973,9.7,17.7,0,0,0,0,1,0
"31",2017-02-09,7967,-3.5,0.4,0,0,0,0,0,0
"32",2017-06-21,53855,20.5,30.8,0,0,0,0,0,0
"33",2017-01-25,9486,-4.6,-0.1,0,0,0,0,0,0
"34",2017-09-05,41280,14.4,24.1,0,0,0,0,0,0
"35",2017-07-17,43834,14,28.9,0,0,0,0,0,0
"36",2017-02-08,8094,-3.9,0.8,0,0,0,0,0,0
"37",2017-10-25,28197,7.4,17.9,0,0,0,0,0,0
"38",2017-10-07,15894,6.2,15.1,0,0,0,1,0,0
"39",2017-06-09,52432,11.6,27.5,0,0,0,0,0,0
"40",2017-01-14,3624,-0.6,2.9,1,0,0,1,0,0
"41",2017-05-10,36509,0.9,16.7,0,0,0,0,0,0
"42",2017-02-14,13351,-3,6,0,0,0,0,0,0
"43",2017-01-22,4153,-7,1.2,0,0,0,0,1,0
"44",2017-07-25,38246,15.2,22.5,0,0,0,0,0,0
"45",2017-08-18,43191,17.9,34,0,0,0,0,0,0
"46",2017-07-12,44570,19.5,30,0,0,0,0,0,0
"47",2017-04-14,19369,8.6,15.3,0,0,0,0,0,0
"48",2017-09-12,24117,13.3,17.9,3,0,0,0,0,0
"49",2017-11-15,22870,-1.3,8.5,0,0,0,0,0,0
"50",2017-04-13,11655,9.3,15.4,3.3,0,0,0,0,0
"51",2017-01-13,7608,0.5,6.1,0.5,0,0,0,0,0
"52",2017-10-23,14979,9.2,11.9,4.1,0,0,0,0,0
"53",2017-12-15,16304,0.8,7.4,0,0,0,0,0,0
"54",2017-06-25,24522,18.9,29.2,0,0,0,0,1,0
"55",2017-10-06,23704,9.5,21,8.9,0,0,0,0,0
"56",2017-04-20,10539,1.4,5.6,1,0,0,0,0,0
"57",2017-03-25,21370,4.9,14.5,0,0,0,1,0,0
"58",2017-01-29,3280,-6.6,-4.5,0,0,0,0,1,0
"59",2017-05-21,21705,12.3,19.5,11.9,0,0,0,1,0
"60",2017-09-09,30286,12.7,26.8,0,0,0,1,0,0
"61",2017-08-09,46822,18.1,31.4,0,0,0,0,0,0
"62",2017-04-18,13498,2.8,10.8,12.7,0,0,0,0,0
"63",2017-02-02,5752,-1.2,0.7,0,0,0,0,0,0
"64",2017-12-31,5852,1.4,14.9,7.1,0,0,0,1,0
"65",2017-05-29,50593,12.7,29.4,0,0,0,0,0,0
"66",2017-10-14,25493,10,20.7,0,0,0,1,0,0
"67",2017-04-12,26984,4.8,17.8,0,0,0,0,0,0
"68",2017-05-25,22119,11.6,18.2,0,0,0,0,1,0
"69",2017-04-28,12475,4.4,7.4,4.1,0,0,0,0,0
"70",2017-04-17,7709,3.7,12,7.1,0,0,0,1,0
"71",2017-03-05,12887,7.2,15.1,0,0,0,0,1,0
"72",2017-08-12,24342,15,23.2,0,0,0,1,0,0
"73",2017-11-12,6097,6.1,9.3,3.8,0,0,0,1,0
"74",2017-02-20,14386,0.1,9.5,0,0,0,0,0,0
"75",2017-11-01,10983,2.6,11,0,0,0,0,1,0
"76",2017-12-13,18620,2.2,7,0,0,0,0,0,0
"77",2017-05-18,52270,11.5,27.1,0,0,0,0,0,0
"78",2017-12-29,6975,-5.1,4.3,0,0,0,0,0,0
"79",2017-10-09,27242,8,15.2,0,0,0,0,0,0
"80",2017-05-23,43794,14.7,26.3,0,0,0,0,0,0
"81",2017-10-12,34594,8.4,22.2,0,0,0,0,0,0
"82",2017-06-19,54288,13.5,29.6,0,0,0,0,0,0
"83",2017-02-17,10086,-1.9,6.3,0,0,0,0,0,0
"84",2017-07-23,28366,19.6,29.7,0,0,0,0,1,0
"85",2017-01-24,9262,-6.2,-4.3,0,0,0,0,0,0
"86",2017-06-30,42621,18,27.1,0,0,0,0,0,0
"87",2017-08-02,43731,23.3,34.8,0,0,0,0,0,0
"88",2017-08-13,26224,16.2,24.7,0,0,0,0,1,0
"89",2017-06-12,49403,14.4,31.9,0,0,0,0,0,0
"90",2017-02-12,4263,0.2,3.4,0,0,0,0,1,0
"91",2017-01-01,2903,-6.1,-0.6,0,0,0,0,1,0
"92",2017-11-04,16930,3.5,14.6,0,0,0,1,0,0
"93",2017-03-19,5156,5.6,12.5,16,0,0,0,1,0
"94",2017-04-26,31584,8.1,17.3,0,0,0,0,0,0
"95",2017-08-21,36780,14.4,22.9,0,0,0,0,0,0
"96",2017-03-02,16478,3.4,13.5,0.8,0,0,0,0,0
"97",2017-03-27,29073,0.9,15.8,0,0,0,0,0,0
"98",2017-11-06,19404,7.5,13.5,0,0,0,0,0,0
"99",2017-02-18,4833,0.8,6.4,2,0,0,1,0,0
"100",2017-08-30,47994,13.2,30.6,0,0,0,0,0,0
"101",2017-09-03,11853,12.1,18.3,6.1,0,0,0,1,0
"102",2017-09-04,36364,11.6,21.7,0,0,0,0,0,0
"103",2017-08-27,29000,20.3,33.4,0,0,0,0,1,0
"104",2017-08-07,41790,16.2,26.5,0,0,0,0,0,0
"105",2017-05-15,32084,13.9,21.8,1,0,0,0,0,0
"106",2017-12-10,5940,-2.1,3.2,0,0,0,0,1,0
"107",2017-12-05,11388,2.4,5.4,3,0,0,0,0,0
"108",2017-10-19,33294,8.1,15.1,0,0,0,0,0,0
"109",2017-02-22,11767,6,14.9,2.8,0,0,0,0,0
"110",2017-05-24,31812,14.5,22,6.1,0,0,0,0,0
"111",2017-07-30,34542,17.2,33.4,0,0,0,0,1,0
"112",2017-04-10,37655,6.1,22.9,0,0,0,0,0,0
"113",2017-11-21,11857,2.7,9.7,8.9,0,0,0,0,0
"114",2017-10-10,28232,10.4,17.7,0,0,0,0,0,0
"115",2017-03-06,20438,4.6,12.4,0,0,0,0,0,0
"116",2017-12-04,10822,0.1,3.2,0,0,0,0,0,0
"117",2017-10-20,27679,6.3,13.2,0,0,0,0,0,0
"118",2017-12-16,9386,0.9,5.4,0,0,0,1,0,0
"119",2017-05-04,27375,6.6,16.1,0,0,0,0,0,0
"120",2017-03-18,4072,6.9,13.9,16,0,0,1,0,0
"121",2017-08-06,12030,17.2,28.4,8.4,0,0,0,1,0
"122",2017-04-08,15696,8.3,15.5,0,0,0,1,0,0
"123",2017-07-13,42223,15.5,24.9,0,0,0,0,0,0
"124",2017-01-19,9865,-8.7,-3.3,0,0,0,0,0,0
"125",2017-01-17,9997,-3.3,-0.5,0,0,0,0,0,0
"126",2017-06-11,46572,12.7,26.7,0,0,0,0,1,0
"127",2017-07-22,33000,19.6,32.3,0,0,0,1,0,0
"128",2017-01-31,5278,-7.9,-4.9,3.3,0,0,0,0,0
"129",2017-12-23,6129,5.6,9.1,0,0,0,1,0,0
"130",2017-04-09,31746,5.6,19.1,0,0,0,0,1,0
"131",2017-06-23,40219,18.9,31.7,7.9,0,0,0,0,0
"132",2017-05-27,36452,13.6,25.5,0,0,0,1,0,0
"133",2017-03-16,28624,5.6,17.4,0,0,0,0,0,0
"134",2017-01-16,9903,-3.6,0.2,0,0,0,0,0,0
"135",2017-12-01,14218,-2.2,3.7,0,0,0,0,0,0
"136",2017-01-09,6220,-7.3,-2.3,0,0,0,0,0,0
"137",2017-02-19,7488,-1.5,6.2,0,0,0,0,1,0
"138",2017-04-02,44060,8.4,24.7,0,0,0,0,1,0
"139",2017-05-02,30313,6.1,18.7,0,0,0,0,0,0
"140",2017-06-01,52830,17.4,27.1,0,0,0,0,0,0
"141",2017-12-11,16169,1.5,12.9,0,0,0,0,0,0
"142",2017-07-26,26749,14.2,20.2,2,0,0,0,0,0
"143",2017-11-23,20686,2.9,11.7,0,0,0,0,0,0
"144",2017-12-30,5004,-2.5,4.7,0,0,0,1,0,0
"145",2017-12-14,16797,0.5,9.9,0,0,0,0,0,0
"146",2017-05-20,17536,13.4,24.7,0,0,0,1,0,0
"147",2017-05-06,35883,9.8,22.4,0,0,0,1,0,0
"148",2017-12-09,6288,0.3,4.1,0,0,0,1,0,0
"149",2017-09-29,33397,8.2,20,0,0,0,0,0,0
"150",2017-08-20,23647,15.5,24.8,3,0,0,0,1,0
"151",2017-01-15,4224,-1.9,3.3,0.8,0,0,0,1,0
"152",2017-09-10,21863,14.2,22.8,0,0,0,0,1,0
"153",2017-09-08,39144,9.9,24.9,0,0,0,0,0,0
"154",2017-07-14,37954,12,23.8,0,0,0,0,0,0
"155",2017-07-20,46150,16.1,34.7,0,0,0,0,0,0
"156",2017-12-28,5339,0.9,10.1,7.1,0,0,0,0,0
